plant_name,plant,type,capacity,conversion_factor,entry_date,
COBIOENERGY,BIOENERGY,Cogeneration,19.9,0.1,22-04-2017,
CPROENCA2,COGENERADOR PROENCA,Cogeneration,19.9,0,29-04-2014,
CPROVIDEN,INGENIO PROVIDENCIA 2,Cogeneration,19.9,0,18-05-2009,
CMAYAGUEZ,MAYAGUEZ 1,Cogeneration,19.9,0,17-08-2010,
CORISARAL,INGENIO RISARALDA 1,Cogeneration,17,0,15-08-2003,
CRIOPAILA,INGENIO RIOPAILA 1,Cogeneration,16,0,21-05-2018,
CMANUELITA2,COGENERADOR MANUELITA 2,Cogeneration,12,0.00001,22-06-2018,
COINCAUCA,INCAUCA 1,Cogeneration,10,0,21-10-1998,
C_COLTEJER,COGENERADOR COLTEJER 1,Cogeneration,9.4,0,19-12-2013,
C_CASTILLA,CENTRAL CASTILLA 1,Cogeneration,3,0,15-08-2004,
CSANCARLOS,INGENIO SAN CARLOS 1,Cogeneration,2,29.26,23-07-2011,
#N/A,INGENIO LA CARMELITA,Cogeneration,0,0,11-11-2009,
#N/A,INGENIO PICHICHI 1,Cogeneration,0,0,26-01-2010,
#N/A,PAPELES NACIONALES,Cogeneration,0,0,05-02-2009,
GUAVIO,GUAVIO,Hydro,"1,250.00",9.8505,19-03-1993,
SANCARLOS,SAN CARLOS,Hydro,"1,240.00",5.3375,20-01-1984,
CHIVOR,CHIVOR,Hydro,"1,000.00",6.832,23-05-1977,
SOGAMOSO,SOGAMOSO,Hydro,819,1.3103,20-12-2014,
PORCE3,PORCE III,Hydro,700,3.2159,09-02-2011,
PAGUA,PAGUA,Hydro,600,16.4049,01-12-1986,
GUATAPE,GUATAPE,Hydro,560,7.0078,01-01-1972,
BETANIA,BETANIA,Hydro,540,0.5935,01-11-1987,
GUATRON,GUATRON,Hydro,512,8.455,01-01-1966,
ALBAN,ALBAN,Hydro,429,4.1791,15-12-2000,
PORCE2,PORCE II,Hydro,405,2.0588,08-04-2001,
ELQUIMBO,EL QUIMBO,Hydro,400,1.0709,16-11-2015,
MIEL1,MIEL I,Hydro,396,1.9224,01-12-2002,
URRA,URRA,Hydro,338,0.4608,14-02-2000,
SALVAJINA,SALVAJINA,Hydro,315,0.8653,20-07-1995,
LATASAJERA,LA TASAJERA,Hydro,306,8.0935,20-05-1994,
PLAYAS,PLAYAS,Hydro,207,1.7182,01-08-1988,
JAGUAS,JAGUAS,Hydro,170,2.3503,01-07-1988,
DARIOVS,DARIO VALENCIA SAMPER,Hydro,150,8.0779,10-11-2013,
SANFRANCISCO,SAN FRANCISCO,Hydro,135,1.5386,01-01-1969,
CALIMA1,CALIMA,Hydro,132,1.8399,01-01-1967,
AMOYA,AMOYA LA ESPERANZA,Hydro,80,4.7978,24-05-2013,CTGEMG1
C_LLERAS,CARLOS LLERAS,Hydro,78,1.1738,22-11-2015,
CUCUANA,CUCUANA,Hydro,58,5.69,29-07-2015,
ESCUELAMINAS,ESCUELA DE MINAS,Hydro,55,1.4232,30-09-2019,
SANMIGUEL,SAN MIGUEL,Hydro,52,1.4068,23-12-2015,
PRADO,PRADO,Hydro,51,0.482,01-03-1973,
SALTO II,SALTO II,Hydro,35,3.4155,25-06-2014,
ESMERALDA,ESMERALDA,Hydro,30,1.3202,01-01-1963,
ALTOTULUA,ALTO TULUA,Hydro,19.9,2.23,28-05-2012,
BAJOTULUA,BAJO TULUA,Hydro,19.9,1.65,30-01-2015,
MBARROSO1,BARROSO,Hydro,19.9,3.2097,30-11-2012,
MCALDERAS,CALDERAS,Hydro,19.9,1.3143,30-06-2006,
M_ELEDEN,EL EDN,Hydro,19.9,0,02-03-2017,
M_ELMOLINO,EL MOLINO,Hydro,19.9,1.0236,19-04-2017,
MELPOPAL,EL POPAL,Hydro,19.9,1.442,31-03-2014,
FLORIDA2,FLORIDA,Hydro,19.9,0.8333,01-01-1975,
MMONTA?ITAS,HIDROMONTANITAS,Hydro,19.9,3.7,14-06-2012,
M_MORROAZUL,MORRO AZUL,Hydro,19.9,0,10-09-2016,
RPIEDRAS,RIO PIEDRAS,Hydro,19.9,1,31-03-2000,
MSNANDRESC,SAN ANDRES DE CUERQUIA,Hydro,19.9,4.58,11-06-2020,
MSNMATIAS,SAN MATIAS,Hydro,19.9,1.0237,25-04-2017,
LAHERRADURA,LA HERRADURA,Hydro,19.8,0.0001,03-09-2004,
MRIOMAYO,RIO MAYO,Hydro,19.8,1.7,20-07-1995,
MTUNJITA,TUNJITA,Hydro,19.7,2.4655,30-06-2016,
MLUZMA1,LUZMA I,Hydro,19.6,3.6594,07-10-2017,
MLUZMA2,LUZMA II,Hydro,19.6,3.6351,07-10-2017,
M_AURESBAJO,AURES BAJO,Hydro,19.4,0.98,12-12-2018,
MCHARQUITO,CHARQUITO,Hydro,19.4,0,22-08-2003,
M_AMAIME,AMAIME,Hydro,19.17,1.55,06-01-2011,
INSULA,INSULA,Hydro,19,0.85,20-07-1995,
MNIQUIA,NIQUIA,Hydro,19,0,28-06-1993,
MRIOGRANDEI,RIOGRANDE I,Hydro,19,0,01-01-1956,
MSONSON,SONSON,Hydro,18.5,0,01-06-2002,
ELLIMONAR,EL LIMONAR,Hydro,18,0,06-12-2003,
MLAGUNETA,LAGUNETA,Hydro,18,2.509,17-12-2014,
AG_AYURA,AUTOG AYURA,Hydro,16.7,0,26-10-1983,
M_ALEJANDRIA,ALEJANDRA,Hydro,15,0,02-03-2017,
MPALMAS_SGIL,PALMAS SAN GIL,Hydro,15,0,01-01-1954,
MTEQUEND1,TEQUENDAMA 1,Hydro,14.2,1,03-04-2018,
MTEQUEND2,TEQUENDAMA 2,Hydro,14.2,1,03-04-2018,
MTEQUEND3,TEQUENDAMA 3,Hydro,14.2,1,03-04-2018,
MTEQUEND4,TEQUENDAMA 4,Hydro,14.2,1,03-04-2018,
MPAJARITO,PAJARITO,Hydro,13.2,0,25-11-1999,
MLAVUELTA,LA VUELTA,Hydro,11.6,0,22-11-2004,
MRIONEGRO,RIONEGRO,Hydro,10.2,0,01-01-1975,
RIOFRIO2,RIO FRIO II,Hydro,10,0,01-01-1996,
MGUAVIO,GUAVIO MENOR,Hydro,9.9,0,27-04-2016,
MCARUQUIA,CARUQUIA,Hydro,9.5,1.53,28-01-2010,
MGUANAQUITA,GUANAQUITAS,Hydro,9.5,1.4984,30-06-2010,
MCEMENTNARE,AUTG CEMENTOS DEL NARE,Hydro,9,0,01-09-2004,
MSANTANA,SANTA ANA,Hydro,8,0,09-06-2005,
MULATOSII,MULATOS II,Hydro,7.34,0,26-08-2019,
MAGUAFRE,AGUA FRESCA,Hydro,7.29,0,10-04-2008,
MNIMA,NIMA,Hydro,6.7,0,01-01-1942,
AG_ELCAIRO,AUTOG ARGOS EL CAIRO,Hydro,6.5,0,29-09-2017,
MSUEVA,SUEVA 2,Hydro,6,0,24-05-2002,
MMAGALLO,MAGALLO,Hydro,5.7,0,22-12-2016,
#N/A,IQUIRA II,Hydro,5.4,0,01-01-1965,
#N/A,NUEVO LIBARE,Hydro,5.1,0,01-01-1994,
MPRADO4,PRADO IV,Hydro,5,0.4904,01-03-1973,
#N/A,PROVIDENCIA,Hydro,4.9,0,30-09-2015,
LANAVETA,LA NAVETA,Hydro,4.8,0.1529,27-11-2014,
#N/A,HIDROBARRANCAS,Hydro,4.7,0,26-11-2020,
#N/A,JUAN GARCIA,Hydro,4.52,0,12-09-2018,
#N/A,COCONUCO,Hydro,4.5,0,27-09-2000,
#N/A,CANTAYUS,Hydro,4.32,1.433,20-05-2017,
#N/A,IQUIRA I,Hydro,4.32,0,01-01-1955,
#N/A,PUENTE GUILLERMO,Hydro,4.2,0,01-09-2001,
#N/A,RIO BOBO,Hydro,4,0,01-01-1960,
#N/A,MIROLINDO,Hydro,3.75,0,03-11-2004,
#N/A,BELMONTE,Hydro,3.4,0,01-01-1939,
#N/A,SAJANDI,Hydro,3.2,0,01-01-1995,
#N/A,MANANTIALES,Hydro,3.15,0,01-01-1992,
#N/A,CASCADA,Hydro,3,0,01-01-1954,
#N/A,LA CASCADA ( ABEJORRAL),Hydro,3,0,17-09-2007,
#N/A,LAS PALMAS,Hydro,2.8,0.15,30-08-2017,
#N/A,SANTIAGO,Hydro,2.8,2.8,08-01-2011,
