COUNTRY,PRODUCT,TIME,VALUE
OECD,LPGETHANE,JAN2007,5411.8
OECD,LPGETHANE,FEB2007,5559.7
OECD,LPGETHANE,MAR2007,5070.1
OECD,LPGETHANE,APR2007,4865
OECD,LPGETHANE,MAY2007,4623
OECD,LPGETHANE,JUN2007,4524.1
OECD,LPGETHANE,JUL2007,4594.9
OECD,LPGETHANE,AUG2007,4519.8
OECD,LPGETHANE,SEP2007,4412.5
OECD,LPGETHANE,OCT2007,4680.4
OECD,LPGETHANE,NOV2007,5001.7
OECD,LPGETHANE,DEC2007,5231.7
OECD,LPGETHANE,JAN2008,5303.4
OECD,LPGETHANE,FEB2008,5317.2
OECD,LPGETHANE,MAR2008,5083.3
OECD,LPGETHANE,APR2008,4758.8
OECD,LPGETHANE,MAY2008,4594.4
OECD,LPGETHANE,JUN2008,4556.7
OECD,LPGETHANE,JUL2008,4507.7
OECD,LPGETHANE,AUG2008,4428
OECD,LPGETHANE,SEP2008,3992.5
OECD,LPGETHANE,OCT2008,4429.3
OECD,LPGETHANE,NOV2008,4440.3
OECD,LPGETHANE,DEC2008,4800.3
OECD,LPGETHANE,JAN2009,4922.6
OECD,LPGETHANE,FEB2009,4956
OECD,LPGETHANE,MAR2009,4824.4
OECD,LPGETHANE,APR2009,4618.8
OECD,LPGETHANE,MAY2009,4319.4
OECD,LPGETHANE,JUN2009,4514.4
OECD,LPGETHANE,JUL2009,4493.9
OECD,LPGETHANE,AUG2009,4451.1
OECD,LPGETHANE,SEP2009,4478.2
OECD,LPGETHANE,OCT2009,4710.2
OECD,LPGETHANE,NOV2009,5084.1
OECD,LPGETHANE,DEC2009,5442.6
OECD,LPGETHANE,JAN2010,5387.9
OECD,LPGETHANE,FEB2010,5446.4
OECD,LPGETHANE,MAR2010,4990.5
OECD,LPGETHANE,APR2010,4591.1
OECD,LPGETHANE,MAY2010,4484.1
OECD,LPGETHANE,JUN2010,4576.3
OECD,LPGETHANE,JUL2010,4325.3
OECD,LPGETHANE,AUG2010,4585.4
