provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFP3FM1.M,PET.MCRFP3FM1.M,Federal Offshore--Gulf of Mexico Field Production of Crude Oil,"Federal Offshore--Gulf of Mexico Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFP4E1.M,PET.MCRFP4E1.M,Lower 48 States Field Production of Crude Oil,"Lower 48 States Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPP11.M,PET.MCRFPP11.M,East Coast (PADD 1) Field Production of Crude Oil,"East Coast (PADD 1) Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPP21.M,PET.MCRFPP21.M,Midwest (PADD 2) Field Production of Crude Oil,"Midwest (PADD 2) Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPP31.M,PET.MCRFPP31.M,Gulf Coast (PADD 3) Field Production of Crude Oil,"Gulf Coast (PADD 3) Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPP41.M,PET.MCRFPP41.M,Rocky Mountain (PADD 4) Field Production of Crude Oil,"Rocky Mountain (PADD 4) Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPP51.M,PET.MCRFPP51.M,West Coast (PADD 5) Field Production of Crude Oil,"West Coast (PADD 5) Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPUS1.M,PET.MCRFPUS1.M,U.S. Field Production of Crude Oil,"U.S. Field Production of Crude Oil, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MANFPAK1.M,PET.MANFPAK1.M,Alaska North Slope Crude Oil Production,"Alaska North Slope Crude Oil Production, Monthly"
US_EIA,SUPPLY,USA,gov_eia_PET,CRUDEOIL,Monthly,KBBL,PET.MCRFPAK1.M,PET.MCRFPAK1.M,Alaska Field Production of Crude Oil,"Alaska Field Production of Crude Oil, Monthly"
